,,Test,BN_indep,BN_timedep_5step,TVAE,CTGAN,E-WGAN-GP,NetShare,Transformer,Our
PCD,41,1.2161054089617547,1.4360573856873422,2.2834170929300757,1.6405076915541958,1.259901155606833,2.194576624714084,1.3656601706535276,2.636704261796124,1.3756472767896257
PCD,42,0.7753355176921403,1.2440634701951856,2.3203322373920012,0.8798992517853821,0.39705442406740155,2.5085883413255274,1.075354604180812,2.59745917314019,1.2742078983279495
PCD,43,1.3126333416471567,1.6394946243090807,2.4234000258967443,1.4949505532518164,1.0925372904694552,2.640943652330399,1.290198014731209,2.8472623128579513,1.519290947993151
PCD,44,1.329000046413893,1.6352489370752696,2.614838299902414,1.2306158235208806,0.7227475000386657,2.7202964018781244,1.467317499389204,2.9296860059572642,1.5317874441695414
PCD,45,1.5571388070927845,0.9963888372642102,1.5977815874315489,1.6936214790599562,1.4140960583377056,1.8846888082974917,0.911916322078898,2.128607370150029,1.0291452230888962
PCD,46,2.748561123012361,1.6330874191469225,1.5491938216093415,2.522793792832389,2.316725650894793,2.2172495376386108,1.877283035866301,2.1657647670577664,1.7079984385867721
PCD,47,0.8178216216239232,1.5105962021471504,2.3903562609976436,1.431103915181992,0.9284744142018554,2.4722111266453486,1.090647689958851,3.0082529503466033,1.426651334973305
PCD,48,1.6370505185146982,1.9889752149520499,2.9302099124775585,1.5827136343514636,1.0888505768971914,3.027745175282308,1.8533978643803792,3.258325937169857,1.8886898133628502
PCD,49,0.5631282286654655,1.2793436677219572,2.158104963484639,1.3298301612468488,0.8582500034105734,2.1917999032329036,0.9641047029311827,2.3998468913796493,1.234420270909873
PCD,50,1.4584043847715942,1.9527268740036623,2.798762982442093,1.629361450913743,1.1272190455683784,2.9593677499106272,1.5352999151403135,3.1311845570820522,1.7676905504320488
PCD,51,1.532658590068642,2.1596341126750267,3.503639374256876,1.2958288093293966,1.406437625574453,3.70118968036213,2.0504345745531434,3.4258280383621105,2.613651747240239
PCD,52,1.6207136178371346,1.3753029636279446,1.9820599406140087,1.8631678156791178,1.5790830528154691,1.6754554708978464,1.058135721773422,2.3873600969698687,1.3818885438842077
PCD,53,2.0641129720007645,1.4768732161319296,2.170256636450593,1.4538174143879008,1.245492327635579,2.2149638470779536,1.2403108482834686,2.4192147116404215,1.2625068581172803
PCD,54,0.19213827984246298,1.9995425438445218,2.936896305969604,1.6157619463952062,1.1437257274461012,3.1055335428738036,2.076072651452885,3.2784361538075824,1.9463235785115525
PCD,55,1.3399448678918338,2.0302673866731618,2.9022915379152647,1.6514055363664795,1.2275252533805248,3.039573820681839,1.8096115250536722,3.3200170133061935,2.0074059259726353
PCD,56,1.280243591013414,1.6912440125674493,2.4712478038377492,1.7501422010069159,1.359238090378388,2.606419590768568,1.7637865292524846,2.525061193651865,1.55462853606929
PCD,57,1.100612026045085,1.5837776908560943,2.3651990398988088,1.4778753774877935,1.048438233146522,2.56993595087013,1.3517294876719774,2.939786946144452,1.352573810224694
PCD,58,0.1338414382996404,1.5742701319214605,2.448970151096878,1.661059303047329,1.18115994789784,2.443041786959142,1.1001580990114765,2.9114840930966492,1.612907353638502
PCD,59,1.9215519252433757,1.3351786915011317,1.379945711867476,2.2954089128430972,2.1529040351978357,2.023731685011281,1.574117988378318,2.3290461533915936,1.437214406023807
CMD,60,0.05591246078937151,0.10292577100919016,0.05839954575053221,0.2108081097900397,0.057078194239443915,0.4560293162022139,0.2648661770541626,0.7708566050292864,0.03602158267426568
CMD,61,0.06090241552778312,0.09868849649178163,0.05534739452149331,0.20995034804835724,0.053533881341465084,0.45500206937470766,0.2638200223955114,0.7743576630253609,0.03344716727882312
CMD,62,0.05548314118217159,0.09688776450304186,0.050217474576115785,0.2072194105398884,0.05460827884086469,0.45607487303578037,0.26382480042339557,0.7728471370060219,0.03447107832922533
CMD,63,0.057019932527301184,0.094889336167301,0.0454834744230694,0.2068551085151679,0.05311006295097248,0.4527159012237053,0.26130209567015494,0.7754972686158308,0.03476035668412631
CMD,64,0.05533710925679407,0.10050730063165561,0.060270570460014015,0.2130580351746758,0.0564675765997507,0.45653170997476467,0.26547845829826155,0.7688667966530208,0.032604739466555246
CMD,65,0.05574147654568153,0.10259643899888075,0.0576254750614118,0.21044553135560728,0.055299991979956144,0.4549720602961388,0.2686699056907605,0.7657326660327086,0.034942870842194676
CMD,66,0.06373792293594208,0.09824242585148371,0.05285257840697851,0.20699524557597077,0.052775195263539146,0.4518849907595401,0.2619948900965311,0.7754642286353323,0.03375859290531401
CMD,67,0.05761471392694051,0.09306160889702886,0.05082718564885156,0.2061761401855291,0.0539858986826217,0.4510271497398238,0.2596895018905109,0.7740591256725343,0.032819078948652144
CMD,68,0.05870396967433141,0.09873692401529184,0.05396789199004748,0.21016156496068997,0.053829932136421677,0.45692979516357657,0.2613472833852509,0.7751964922448602,0.03311621097381957
CMD,69,0.0567354232197624,0.09133437824965297,0.049264244754832535,0.206990680418749,0.05546119895674269,0.45298695299453595,0.2586129364042518,0.7781544209001143,0.032978092176057086
CMD,70,0.053905144940302664,0.10101872826000849,0.05669185614114806,0.21320922657610247,0.053977211906401146,0.45726726504083165,0.2672716653341126,0.767184470586484,0.03464567225757147
CMD,71,0.05388604787442656,0.10854246495302325,0.06270392593308309,0.21564883594016093,0.057385851441556425,0.4590971149046159,0.2726983507245238,0.766581421499097,0.03730144857256647
CMD,72,0.054761752562518605,0.09925520792598919,0.05721478796057975,0.2113617545530236,0.052049296015378624,0.4552667803027434,0.26420529423324374,0.7694093498473291,0.03547421091581437
CMD,73,0.055658167687270096,0.10221535917763278,0.05356263651376657,0.21264106875814778,0.05225364267354099,0.4582947142580611,0.2654220245192446,0.7695512808137117,0.03321340408118305
CMD,74,0.0625143583023801,0.08899905751420331,0.04845708311557593,0.20289482390416272,0.05315875165226691,0.44889666543081547,0.25636983165857086,0.780578971758602,0.03379195892913931
CMD,75,0.06126676976361415,0.10562893639783302,0.058933669064962155,0.20817623443845293,0.05415851421092031,0.45484873161025696,0.264139031912335,0.7728083470666047,0.03497002437280534
CMD,76,0.057834178092015284,0.09327892712703822,0.054009254409567074,0.20683511831604212,0.05105549611396647,0.45447043417249045,0.2629215854043879,0.7723947468036128,0.03287766001941228
CMD,77,0.06738054208210281,0.08819094052773134,0.0463622723282043,0.20355730007085754,0.05186517171815017,0.45199017038480127,0.25748725031692354,0.7805662098161232,0.03438327558402333
CMD,78,0.05834838236985237,0.09280271442081836,0.05138304982586247,0.2036450513945419,0.056183332278866384,0.45186504025288404,0.2599855348990244,0.7742300659273338,0.03448261665445202
CMD,79,0.05285405824278374,0.09783957754781819,0.05347003853190444,0.21263440036356998,0.055112503979870206,0.45798294534398476,0.26456618986794567,0.7732027462096053,0.03336285286363279
Density,80,0.45664,0.32372,0.26986,0.44345999999999997,0.5112,0.00336,0.246,0.31960000000000005,0.29696
Density,81,0.45558,0.31468,0.26958000000000004,0.51822,0.53242,0.007620000000000001,0.29612,0.36774,0.29884
Density,82,0.48552,0.32654000000000005,0.26784,0.45206,0.4989,0.006900000000000001,0.26664,0.27658,0.28674
Density,83,0.44450000000000006,0.30974,0.26634,0.47864000000000007,0.49878,0.00326,0.28392,0.33418000000000003,0.28506000000000004
Density,84,0.46838,0.32334,0.27316,0.44028,0.4959800000000001,0.01178,0.30758,0.20546000000000003,0.2959
Density,85,0.463,0.32994,0.27114,0.50548,0.54046,0.0104,0.30560000000000004,0.2812,0.28148
Density,86,0.46804,0.32166000000000006,0.26904,0.48718000000000006,0.53208,0.0028000000000000004,0.29668,0.34036,0.28886
Density,87,0.46074000000000004,0.32504,0.274,0.48116000000000003,0.5463,0.00652,0.28022,0.29094000000000003,0.29968
Density,88,0.45898000000000005,0.33022,0.27186,0.46692,0.5509400000000001,0.00716,0.30414,0.31592,0.29344000000000003
