Date first seen,Proto,Src IP Addr,Dst IP Addr,Dst Pt,In Byte,Out Byte,External,pattern_instance,pattern
2023-07-27 19:41:20.879,TCP,172.16.1.2,192.229.221.95,80.0,    2520,    3798,True,0,-1
2023-07-27 19:41:20.880,UDP,172.16.1.2,172.16.0.2,53.0,     201,     402,False,45,29
2023-07-27 19:41:21.499,UDP,172.16.1.3,172.16.0.2,53.0,     240,     603,False,0,-1
2023-07-27 19:41:21.521,TCP,172.16.1.3,23.65.202.147,443.0,    4119,   23019,True,0,-1
2023-07-27 19:41:21.620,TCP,172.16.1.2,172.17.0.2,25.0,    2352,    2406,False,0,-1
2023-07-27 19:41:21.628,TCP,172.16.1.3,8.238.69.254,80.0,    1767,    5352,True,41,7
2023-07-27 19:41:21.665,UDP,172.16.1.3,172.16.0.2,53.0,     240,     432,False,0,-1
2023-07-27 19:41:21.747,TCP,172.16.1.3,95.140.239.0,80.0,    2094,    1824,True,0,-1
2023-07-27 19:41:21.823,TCP,172.16.1.3,23.65.202.147,443.0,    4119,   23019,True,46,18
2023-07-27 19:41:21.831,UDP,172.16.1.2,172.16.0.2,53.0,     219,     411,False,47,29
2023-07-27 19:41:21.926,TCP,172.16.1.3,8.238.69.254,80.0,    1767,    5355,True,48,7
2023-07-27 19:41:21.993,TCP,172.16.1.3,67.26.19.254,80.0,    2094,    2193,True,48,7
2023-07-27 19:41:21.994,TCP,172.16.1.3,8.238.69.254,80.0,    2094,    2193,True,0,-1
2023-07-27 19:41:22.082,TCP,172.16.1.3,172.17.0.2,25.0,    2460,    2406,False,40,0
2023-07-27 19:41:22.512,TCP,172.16.1.3,20.242.39.171,443.0,  242316,   21000,True,0,-1
2023-07-27 19:41:22.746,TCP,172.16.1.3,20.242.39.171,443.0,   17859,   15042,True,0,-1
2023-07-27 19:41:23.558,TCP,172.16.1.4,172.17.0.2,25.0,    2502,    2406,False,40,0
2023-07-27 19:41:24.243,UDP,172.16.1.3,172.16.0.2,53.0,     240,     705,False,0,-1
2023-07-27 19:41:24.318,TCP,172.16.1.3,8.247.206.126,80.0,    2088,    4149,True,49,7
2023-07-27 19:41:24.319,UDP,172.16.1.3,172.16.0.2,53.0,     240,     432,False,40,0
2023-07-27 19:41:24.320,TCP,172.16.1.3,8.247.206.254,80.0,   16476,   1.7 M,True,50,19
2023-07-27 19:41:24.325,TCP,172.16.1.3,95.140.239.0,80.0,   28770,   2.9 M,True,50,19
2023-07-27 19:41:24.930,TCP,172.16.1.2,23.217.241.239,443.0,    3348,   38880,True,0,-1
2023-07-27 19:41:25.100,UDP,172.16.1.2,172.16.0.2,53.0,     216,     834,False,0,-1
2023-07-27 19:41:25.178,UDP,172.16.1.3,172.16.0.2,53.0,     216,     411,False,0,-1
2023-07-27 19:41:25.193,UDP,172.16.1.2,172.16.1.1,53.0,     216,     801,False,0,-1
2023-07-27 19:41:25.289,TCP,172.16.1.2,20.123.104.105,443.0,   20712,   44190,True,0,-1
2023-07-27 19:41:25.684,TCP,172.16.1.2,20.123.104.105,443.0,   20574,   44193,True,0,-1
2023-07-27 19:41:25.873,UDP,172.16.1.2,172.16.0.2,53.0,     219,     450,False,51,29
2023-07-27 19:41:25.990,TCP,172.16.1.2,20.123.104.105,443.0,   21636,   45357,True,0,-1
2023-07-27 19:41:26.717,TCP,172.16.1.2,172.17.0.2,25.0,    2460,    2406,False,39,2
2023-07-27 19:41:27.188,TCP,172.16.1.3,172.17.0.2,25.0,    2502,    2406,False,0,-1
2023-07-27 19:41:27.364,TCP,172.16.1.2,40.126.32.140,443.0,   18381,   47142,True,0,-1
2023-07-27 19:41:27.801,UDP,172.16.1.2,172.16.0.2,53.0,     231,     663,False,0,-1
2023-07-27 19:41:27.851,TCP,172.16.1.2,51.124.78.146,443.0,    5562,   14574,True,0,-1
2023-07-27 19:41:28.426,TCP,172.16.1.4,20.189.173.6,443.0,   18789,   18132,True,0,-1
