,,Test,BN_indep,BN_timedep_5step,TVAE,CTGAN,E-WGAN-GP,NetShare,Transformer,Our
PCD,46,1.3656644760211887,3.5340657954727566,3.2048478777881897,2.5196523865456544,2.4414823275022908,4.610021909809692,1.292151297114205,4.45989467405449,3.020274514755388
PCD,47,0.7985563561828353,3.4112362629806467,2.9793511065565217,2.380436407561713,2.3002707273518563,4.463751799806282,0.5366284527413188,3.2597169125975287,2.908231788986803
PCD,48,1.7322573930677718,2.889319074263744,2.1670032746389487,2.1249849245280332,1.734370474445415,3.7402454360547206,2.0807716254727695,3.33922987788877,2.014852724479006
PCD,49,1.962985255040177,2.5118320020516594,1.9183066272711842,1.6589676776528939,1.2748380464682048,3.4090001297298356,1.1873166657855545,3.655125700485407,1.653450999504284
PCD,50,0.5427576066013815,2.440426554078988,1.8010553395667193,1.3135867663114609,1.0905849784319406,3.386882636518823,1.6082906185882113,3.887744384573733,1.645154783623711
PCD,51,0.7873492925235511,3.012991317268494,2.540421406378733,2.0698516953492967,1.809408296275825,4.082433552973916,0.7153675941848507,4.07721017057004,2.5468875241813964
PCD,52,0.9559603478109518,2.612546029839911,2.0312692888040105,1.4652687830065811,1.3169925970046432,3.5530461110987406,1.2959682587203334,3.843064685618502,1.8340312310802105
PCD,53,0.36813395850372077,2.863899528895596,2.2284804872609048,1.7411875856947394,1.516274214354837,3.6935572416955926,1.4924428076746652,3.369938276472883,2.0976583312859303
PCD,54,1.083627893461522,2.8537399998079604,2.2650999524515942,1.832317350754242,1.6292812816621645,3.7662647926531063,0.9837362156229996,4.04706127400822,2.228257773485393
PCD,55,1.6895901474704227,2.9399150821046245,2.2882872773277843,2.238004873633665,1.835615458726282,3.6983096726795255,1.9236691793247545,3.789903601497452,2.148717635101248
PCD,56,2.4445252978242316,2.2050174359604267,1.5629677439456506,1.6406825657361686,1.055351785841558,3.000391878745683,1.308411986680394,2.7372122945602277,1.424035434861258
PCD,57,1.5865356138285862,2.220610992407713,1.567554304717316,1.8081370860945714,1.2808168084524527,2.8463737554982087,1.8166644606924263,3.472722072116522,1.702408491432413
PCD,58,2.069903926335679,3.375250689290464,2.873101146211716,2.189189876824704,2.0843041991001376,4.336283167603469,2.115121681116906,3.899663368057734,2.742669318583734
PCD,59,1.4758254870944478,2.7683687718086043,2.2706457722414912,1.6899698748853744,1.5696123994716058,3.7314199580351013,1.3216177862265968,3.996893451372217,1.9830071362796708
CMD,60,0.0538413421998671,0.2265630681574591,0.129954634766069,0.1863175664165126,0.1480507233257661,0.342060281934706,0.2843561774177879,0.7765086263631362,0.0352340196163878
CMD,61,0.0553785319379937,0.2267674707692814,0.1348502019394779,0.1862025767964392,0.1489265770435678,0.34298010672674917,0.2860981136996863,0.7752793400712594,0.0336744889662792
CMD,62,0.0565385644514013,0.2253194744755164,0.1313779373838896,0.185553036060974,0.1486751879264227,0.3434262390627604,0.2884769129649995,0.7717206561621675,0.0318751244279537
CMD,63,0.0550482520776013,0.2250075275940417,0.1303682174122358,0.1846290118561644,0.1451438577883351,0.33761369870988667,0.2837638667539387,0.7771662566424085,0.036539731525301
CMD,64,0.054132479750694,0.2226175180929341,0.1306341682752535,0.1843027568204177,0.1480305242538277,0.3413332561440805,0.2806473173382693,0.7773783872064317,0.0314586657556034
CMD,65,0.0563842564430853,0.2246839901933945,0.1344892366788562,0.1800072192698575,0.1482270375733729,0.34305063493711146,0.2841067600719708,0.7772140558274294,0.0331418714181164
CMD,66,0.0546711578772723,0.2256278559477655,0.1365909398941273,0.1903556454283954,0.1508740622686661,0.3435789521659048,0.2898189279639747,0.7714974524010658,0.0417723173139089
CMD,67,0.056438690782374,0.2239618690270157,0.1399930262890066,0.1858147513592496,0.1494048376203524,0.3406217777634323,0.2840253795940225,0.7763298036548608,0.0343628896444843
CMD,68,0.0542540935304125,0.2272257578831057,0.1368907795858799,0.1819677422341191,0.146779940200151,0.3420813338101556,0.2881806466262809,0.7722199011679319,0.0342747193856353
CMD,69,0.0571517048449388,0.2276503107218951,0.1347186637332366,0.187995619067659,0.1526910992360256,0.3451483243581145,0.2897762596502712,0.7708027719167141,0.0385779634446387
CMD,70,0.0548240099155255,0.2258435106378454,0.133663295940372,0.1847882427143915,0.1482271141453373,0.3422210568877503,0.2867734140407098,0.7727741301229615,0.0336516230073709
CMD,71,0.0549311174386184,0.2257638736227201,0.1286721534601764,0.1850861144672468,0.1508770304536184,0.34535755907114557,0.2874133883174876,0.773320185961409,0.0331116385776908
CMD,72,0.0539753569860285,0.2290590996967377,0.1290541112064126,0.1813983377620105,0.1514565951254579,0.3419257683124724,0.2851953028092956,0.7745441208027024,0.0329371819272579
CMD,73,0.0552334861502823,0.2208393818993569,0.1335182800977549,0.1831700711743281,0.1461465228007307,0.3422482249635087,0.2810466978545686,0.7778507289247437,0.0336575751146448
CMD,74,0.0556460568355877,0.2258355571233437,0.1385451540221187,0.1871139545189404,0.1482677181016389,0.34284097047903417,0.2868399979368647,0.7746996030934961,0.0357430717191586
CMD,75,0.0546746923933285,0.22342011894182,0.1317345027166613,0.1848351967223136,0.1474983852589441,0.3424778188501425,0.2836708255366487,0.7786019806829386,0.0391053089171621
CMD,76,0.0527545888629645,0.2215672996744621,0.1261651133716315,0.180148808864093,0.1469361324196309,0.3404733525590357,0.2811013362447131,0.7800592885268544,0.0330677458855693
CMD,77,0.0548498347134885,0.2229276488495551,0.1314763937953874,0.1855743504659903,0.1492789656032675,0.3401313817040048,0.281722882118125,0.7767263314581226,0.0337693163466109
CMD,78,0.055744108532376,0.2237301196733824,0.1321059588277837,0.1830503082443903,0.1470469950051621,0.3408743958667176,0.28433101574456,0.7762906993525786,0.0343004537122797
CMD,79,0.0553092939849212,0.2152056385238931,0.1283478147314511,0.1771081500487229,0.1447618725751052,0.33779835039303857,0.2768751890298734,0.7844454103083665,0.0323681378048528
Density,80,0.6847200000000001,0.2477,0.29742,0.4666,0.55924,0.023619999999999995,0.32374,0.64814,0.41688
